Frequency (Hz)	Level (dB)
0.976562	-45.133404
1.953125	-44.994160
2.929688	-44.958427
3.906250	-44.572769
4.882812	-44.654675
5.859375	-44.349583
6.835938	-44.074421
7.812500	-43.645714
8.789062	-43.212555
9.765625	-42.643368
10.742188	-42.048851
11.718750	-41.362206
12.695312	-40.592281
13.671875	-39.999779
14.648438	-38.686062
15.625000	-37.810089
16.601562	-36.264156
17.578125	-34.194199
18.554688	-32.199375
19.531250	-28.484842
20.507812	-24.515837
21.484375	-17.407867
22.460938	-10.943236
23.437500	-14.332096
24.414062	-17.880447
25.390625	-24.177414
26.367188	-28.981659
27.343750	-32.176907
28.320312	-34.796886
29.296875	-36.324314
30.273438	-37.519611
31.250000	-38.831635
32.226562	-39.345360
33.203125	-40.466793
34.179688	-41.246803
35.156250	-41.588413
36.132812	-40.969234
37.109375	-41.899635
38.085938	-41.739468
39.062500	-40.664951
40.039062	-39.724167
41.015625	-37.634525
41.992188	-32.054657
42.968750	-31.456991
43.945312	-28.429953
44.921875	-25.474833
45.898438	-28.826969
46.875000	-30.050285
47.851562	-30.827703
48.828125	-31.670109
49.804688	-36.022530
50.781250	-39.874268
51.757812	-41.930580
52.734375	-44.405888
53.710938	-44.562431
54.687500	-43.845104
55.664062	-43.118156
56.640625	-43.170597
57.617188	-42.747993
58.593750	-43.482670
59.570312	-41.993576
60.546875	-41.452984
61.523438	-39.883080
62.500000	-37.195961
63.476562	-33.357887
64.453125	-28.303425
65.429688	-27.511209
66.406250	-23.962603
67.382812	-23.750017
68.359375	-25.909277
69.335938	-28.380648
70.312500	-30.743271
71.289062	-29.966171
72.265625	-32.410675
73.242188	-34.863693
74.218750	-38.309067
75.195312	-38.572826
76.171875	-40.597801
77.148438	-42.674183
78.125000	-42.462456
79.101562	-43.953888
80.078125	-42.677357
81.054688	-43.149693
82.031250	-42.700481
83.007812	-41.464146
83.984375	-38.431057
84.960938	-35.404903
85.937500	-30.821489
86.914062	-28.003859
87.890625	-28.546204
88.867188	-28.056093
89.843750	-29.468969
90.820312	-28.732201
91.796875	-31.687452
92.773438	-33.338238
93.750000	-33.227512
94.726562	-34.039406
95.703125	-34.612106
96.679688	-36.206223
97.656250	-39.860416
98.632812	-42.303360
99.609375	-43.036469
100.585938	-44.602257
101.562500	-44.451454
102.539062	-44.858017
103.515625	-44.657368
104.492188	-45.455418
105.468750	-44.566620
106.445312	-42.654747
107.421875	-40.259071
108.398438	-36.626015
109.375000	-35.431721
110.351562	-36.387238
111.328125	-36.592972
112.304688	-36.595371
113.281250	-37.057587
114.257812	-39.134514
115.234375	-39.912056
116.210938	-41.323959
117.187500	-40.845154
118.164062	-44.316044
119.140625	-44.551056
120.117188	-43.672680
121.093750	-45.113979
122.070312	-45.871368
123.046875	-46.931091
124.023438	-45.846100
125.000000	-44.848537
125.976562	-44.554558
126.953125	-43.707527
127.929688	-42.018940
128.906250	-38.673233
129.882812	-36.747784
130.859375	-34.468613
131.835938	-34.698372
132.812500	-36.059868
133.789062	-37.804855
134.765625	-37.581776
135.742188	-38.183582
136.718750	-39.035717
137.695312	-40.303268
138.671875	-42.243858
139.648438	-43.307468
140.625000	-43.639156
141.601562	-43.925800
142.578125	-44.229618
143.554688	-44.739922
144.531250	-46.242451
145.507812	-46.519138
146.484375	-46.260700
147.460938	-44.525082
148.437500	-43.945293
149.414062	-43.145931
150.390625	-42.034843
151.367188	-40.665112
152.343750	-39.359940
153.320312	-38.801327
154.296875	-38.930061
155.273438	-40.016258
156.250000	-42.574940
157.226562	-41.763233
158.203125	-41.785252
159.179688	-43.360859
160.156250	-43.742962
161.132812	-46.472019
162.109375	-45.578396
163.085938	-46.746014
164.062500	-46.827717
165.039062	-47.583855
166.015625	-47.108238
166.992188	-45.965305
167.968750	-47.552551
168.945312	-46.731350
169.921875	-47.013672
170.898438	-46.706429
171.875000	-47.862610
172.851562	-45.927193
173.828125	-45.773384
174.804688	-44.190853
175.781250	-44.363445
176.757812	-44.486610
177.734375	-45.367641
178.710938	-46.420094
179.687500	-46.830780
180.664062	-46.966583
181.640625	-47.296024
182.617188	-46.628963
183.593750	-45.618908
184.570312	-45.356194
185.546875	-46.921665
186.523438	-46.494129
187.500000	-47.347404
188.476562	-46.767643
189.453125	-47.560654
190.429688	-45.485416
191.406250	-46.283585
192.382812	-45.421909
193.359375	-45.949932
194.335938	-44.327209
195.312500	-43.971474
196.289062	-44.249844
197.265625	-43.281517
198.242188	-44.510803
199.218750	-44.267616
200.195312	-44.314072
201.171875	-45.444229
202.148438	-46.079243
203.125000	-47.044411
204.101562	-46.513714
205.078125	-46.299393
206.054688	-47.182434
207.031250	-46.743141
208.007812	-46.355843
208.984375	-46.344028
209.960938	-45.327770
210.937500	-45.967674
211.914062	-46.287033
212.890625	-47.399349
213.867188	-45.892464
214.843750	-46.260647
215.820312	-46.746269
216.796875	-46.774124
217.773438	-45.053535
218.750000	-45.394974
219.726562	-46.007523
220.703125	-45.763500
221.679688	-45.851864
222.656250	-46.624756
223.632812	-46.017555
224.609375	-45.325817
225.585938	-46.335873
226.562500	-45.943958
227.539062	-44.701744
228.515625	-46.348301
229.492188	-45.974010
230.468750	-45.291603
231.445312	-45.954575
232.421875	-45.873344
233.398438	-46.249119
234.375000	-44.855740
235.351562	-45.474377
236.328125	-44.110619
237.304688	-43.798412
238.281250	-44.787193
239.257812	-44.213875
240.234375	-44.216568
241.210938	-44.003716
242.187500	-44.699131
243.164062	-44.662651
244.140625	-44.239311
245.117188	-43.378975
246.093750	-44.533649
247.070312	-45.712334
248.046875	-44.158894
249.023438	-45.624344
250.000000	-45.081062
250.976562	-45.215652
251.953125	-44.667339
252.929688	-44.449863
253.906250	-43.688068
254.882812	-44.543880
255.859375	-45.319832
256.835938	-45.126659
257.812500	-44.966022
258.789062	-44.279427
259.765625	-44.099331
260.742188	-43.296318
261.718750	-45.268330
262.695312	-44.865063
263.671875	-44.416557
264.648438	-44.464985
265.625000	-44.012085
266.601562	-43.923717
267.578125	-44.336136
268.554688	-43.434963
269.531250	-43.580669
270.507812	-42.932468
271.484375	-42.269695
272.460938	-44.310406
273.437500	-43.673912
274.414062	-43.451965
275.390625	-42.167400
276.367188	-42.740341
277.343750	-43.581333
278.320312	-42.991280
279.296875	-41.345818
280.273438	-42.714218
281.250000	-41.444126
282.226562	-42.426556
283.203125	-41.522072
284.179688	-43.743389
285.156250	-42.664703
286.132812	-43.135784
287.109375	-42.926292
288.085938	-42.079632
289.062500	-41.924507
