Frequency (Hz)	Level (dB)
0.976562	-42.869366
1.953125	-42.824883
2.929688	-42.694885
3.906250	-42.561390
4.882812	-42.339890
5.859375	-42.096348
6.835938	-41.799980
7.812500	-41.473873
8.789062	-41.040630
9.765625	-40.580929
10.742188	-40.145290
11.718750	-39.561543
12.695312	-38.865463
13.671875	-38.155975
14.648438	-37.320816
15.625000	-36.392059
16.601562	-35.415428
17.578125	-34.142834
18.554688	-32.762280
19.531250	-31.064657
20.507812	-28.626822
21.484375	-25.481205
22.460938	-19.948721
23.437500	-10.067092
24.414062	-13.017215
25.390625	-21.868040
26.367188	-26.100077
27.343750	-29.131586
28.320312	-31.337944
29.296875	-33.017979
30.273438	-34.419167
31.250000	-35.682194
32.226562	-36.753933
33.203125	-37.761902
34.179688	-38.355999
35.156250	-39.118580
36.132812	-39.969051
37.109375	-40.527008
38.085938	-41.162857
39.062500	-41.822353
40.039062	-42.035648
41.015625	-42.688339
41.992188	-42.783737
42.968750	-43.272297
43.945312	-42.347935
44.921875	-40.991684
45.898438	-36.776020
46.875000	-31.436621
47.851562	-23.866856
48.828125	-33.220867
49.804688	-38.016273
50.781250	-41.471416
51.757812	-43.466999
52.734375	-44.178360
53.710938	-45.195744
54.687500	-45.790916
55.664062	-45.896179
56.640625	-45.995750
57.617188	-46.424618
58.593750	-46.558792
59.570312	-45.677330
60.546875	-46.373451
61.523438	-46.147377
62.500000	-45.914890
63.476562	-45.130806
64.453125	-44.701866
65.429688	-44.680405
66.406250	-41.978619
67.382812	-39.496925
68.359375	-35.570908
69.335938	-30.770348
70.312500	-25.598745
71.289062	-21.477734
72.265625	-25.784960
73.242188	-33.329700
74.218750	-37.316517
75.195312	-41.502644
76.171875	-42.361710
77.148438	-44.252697
78.125000	-44.563179
79.101562	-45.825321
80.078125	-46.027031
81.054688	-46.633961
82.031250	-47.398483
83.007812	-46.539074
83.984375	-47.268024
84.960938	-47.851116
85.937500	-47.355873
86.914062	-47.163803
87.890625	-46.687099
88.867188	-46.748165
89.843750	-44.833054
90.820312	-42.805073
91.796875	-39.908474
92.773438	-34.251652
93.750000	-30.415318
94.726562	-28.273880
95.703125	-25.995939
96.679688	-32.432743
97.656250	-38.272980
98.632812	-41.977299
99.609375	-44.605907
100.585938	-46.449982
101.562500	-48.807384
102.539062	-49.791176
103.515625	-50.935715
104.492188	-50.606670
105.468750	-51.271881
106.445312	-51.293041
107.421875	-51.782078
108.398438	-51.197449
109.375000	-52.729084
110.351562	-52.350239
111.328125	-52.490997
112.304688	-52.425392
113.281250	-52.198753
114.257812	-52.033813
115.234375	-49.508472
116.210938	-44.210575
117.187500	-43.120522
118.164062	-42.107666
119.140625	-43.819595
120.117188	-48.350620
121.093750	-50.443623
122.070312	-51.640049
123.046875	-51.832970
124.023438	-52.072792
125.000000	-52.511024
125.976562	-53.457657
126.953125	-52.962044
127.929688	-53.424427
128.906250	-52.728977
129.882812	-52.970829
130.859375	-52.451229
131.835938	-53.176529
132.812500	-51.702816
133.789062	-52.350750
134.765625	-52.106087
135.742188	-51.505245
136.718750	-50.728519
137.695312	-46.386055
138.671875	-43.094997
139.648438	-41.442688
140.625000	-41.638344
141.601562	-39.597687
142.578125	-40.667274
143.554688	-44.632996
144.531250	-47.823235
145.507812	-48.885941
146.484375	-52.295895
147.460938	-52.141479
148.437500	-53.986122
149.414062	-53.331459
150.390625	-54.613884
151.367188	-53.271797
152.343750	-54.169243
153.320312	-53.828903
154.296875	-54.041451
155.273438	-53.758598
156.250000	-53.638729
157.226562	-54.770176
158.203125	-54.344456
159.179688	-54.466335
160.156250	-53.536861
161.132812	-54.084503
162.109375	-52.073853
163.085938	-52.340374
164.062500	-51.276463
165.039062	-51.773930
166.015625	-52.295807
166.992188	-51.455135
167.968750	-51.685383
168.945312	-52.642834
169.921875	-53.501404
170.898438	-52.662842
171.875000	-53.590355
172.851562	-54.755165
173.828125	-53.853882
174.804688	-54.809799
175.781250	-55.359406
176.757812	-53.629433
177.734375	-54.960983
178.710938	-53.723465
179.687500	-53.547844
180.664062	-53.257576
181.640625	-54.947613
182.617188	-54.314720
183.593750	-53.862873
184.570312	-51.617149
185.546875	-51.477951
186.523438	-50.769627
187.500000	-50.294876
188.476562	-47.751900
189.453125	-46.816799
190.429688	-44.522846
191.406250	-42.773457
192.382812	-44.639053
193.359375	-48.100567
194.335938	-50.602318
195.312500	-51.187191
196.289062	-50.956108
197.265625	-51.678387
198.242188	-51.991486
199.218750	-50.920872
200.195312	-51.826675
201.171875	-52.767570
202.148438	-52.904537
203.125000	-52.380936
204.101562	-52.018406
205.078125	-51.707294
206.054688	-52.207615
207.031250	-51.072655
208.007812	-51.230000
208.984375	-52.335129
209.960938	-51.231281
210.937500	-50.985584
211.914062	-50.683838
212.890625	-50.661583
213.867188	-50.387756
214.843750	-48.103317
215.820312	-47.358719
216.796875	-49.563583
217.773438	-51.186275
218.750000	-51.564434
219.726562	-52.345501
220.703125	-51.013950
221.679688	-52.001926
222.656250	-51.502480
223.632812	-51.416222
224.609375	-50.998337
225.585938	-52.910019
226.562500	-52.708591
227.539062	-53.139618
228.515625	-52.941467
229.492188	-52.366467
230.468750	-52.813694
231.445312	-50.307835
232.421875	-49.384293
233.398438	-49.847816
234.375000	-49.913963
235.351562	-48.991619
236.328125	-49.163807
237.304688	-48.499725
238.281250	-48.561005
239.257812	-50.301216
240.234375	-50.246250
241.210938	-51.367306
242.187500	-50.958038
243.164062	-50.246647
244.140625	-49.914837
245.117188	-49.471638
246.093750	-50.833092
247.070312	-48.965672
248.046875	-49.286320
249.023438	-49.557720
250.000000	-49.710632
250.976562	-50.553474
251.953125	-50.287151
252.929688	-48.895527
253.906250	-48.591949
254.882812	-48.610836
255.859375	-48.744595
256.835938	-49.177494
257.812500	-48.088799
258.789062	-48.324722
259.765625	-47.519131
260.742188	-48.967098
261.718750	-48.048527
262.695312	-47.380302
263.671875	-49.012211
264.648438	-49.956879
265.625000	-49.927586
266.601562	-50.061214
267.578125	-50.809483
268.554688	-50.765179
269.531250	-52.304646
270.507812	-50.482243
271.484375	-50.470745
272.460938	-50.950825
273.437500	-51.429096
274.414062	-52.310276
275.390625	-52.604935
276.367188	-52.431866
277.343750	-53.041359
278.320312	-52.327816
279.296875	-51.274101
280.273438	-51.675648
281.250000	-52.650707
282.226562	-51.445992
283.203125	-51.776443
284.179688	-51.923149
285.156250	-52.605709
286.132812	-51.598240
287.109375	-50.950813
288.085938	-51.132664
