Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),21.87
Room Temp (deg C),22.87
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,21.87
30.00,21.87
60.00,21.87
90.00,21.87
120.00,21.89
150.00,21.86
180.00,21.86
210.00,21.87
240.00,21.87
270.00,21.90
300.00,21.88
330.00,22.67
360.00,23.95
390.00,25.05
420.00,25.76
450.00,26.24
480.00,26.51
510.00,26.69
540.00,26.80
570.00,26.87
600.00,26.91
630.00,26.95
660.00,26.93
690.00,26.92
720.00,26.93
750.00,26.93
780.00,26.93
810.00,26.93
840.00,26.94
870.00,26.95
900.00,26.94
930.00,26.95
960.00,26.93
