Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Fumaric Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),2.0000
Water Temp (deg C),23.94
Room Temp (deg C),24.94
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,23.94
30.00,23.96
60.00,23.95
90.00,23.94
120.00,23.97
150.00,23.95
180.00,23.95
210.00,23.96
240.00,23.94
270.00,23.96
300.00,23.94
330.00,24.31
360.00,24.85
390.00,25.32
420.00,25.63
450.00,25.84
480.00,25.98
510.00,26.05
540.00,26.12
570.00,26.15
600.00,26.14
630.00,26.15
660.00,26.18
690.00,26.16
720.00,26.16
750.00,26.15
780.00,26.15
810.00,26.16
840.00,26.15
870.00,26.17
900.00,26.17
930.00,26.14
960.00,26.15
