Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),2.0000
Water Temp (deg C),21.16
Room Temp (deg C),22.16
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,21.16
30.00,21.15
60.00,21.15
90.00,21.15
120.00,21.17
150.00,21.15
180.00,21.15
210.00,21.16
240.00,21.15
270.00,21.18
300.00,21.18
330.00,22.25
360.00,24.07
390.00,25.55
420.00,26.55
450.00,27.21
480.00,27.62
510.00,27.89
540.00,28.03
570.00,28.13
600.00,28.16
630.00,28.20
660.00,28.21
690.00,28.20
720.00,28.23
750.00,28.23
780.00,28.22
810.00,28.20
840.00,28.19
870.00,28.21
900.00,28.20
930.00,28.18
960.00,28.17
