Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),2.0000
Water Temp (deg C),22.94
Room Temp (deg C),23.94
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,22.94
30.00,22.92
60.00,22.93
90.00,22.93
120.00,22.95
150.00,22.95
180.00,22.94
210.00,22.95
240.00,22.93
270.00,22.94
300.00,22.94
330.00,23.31
360.00,23.89
390.00,24.36
420.00,24.66
450.00,24.87
480.00,24.99
510.00,25.08
540.00,25.12
570.00,25.18
600.00,25.17
630.00,25.19
660.00,25.20
690.00,25.19
720.00,25.19
750.00,25.20
780.00,25.18
810.00,25.21
840.00,25.21
870.00,25.18
900.00,25.20
930.00,25.18
960.00,25.19
