Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Maleic Anhydride
Formula,C4H2O3
Molecular Weight (g/mol),98.042
Sample Weight (g),2.0000
Water Temp (deg C),22.05
Room Temp (deg C),23.05
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,22.05
30.00,22.04
60.00,22.03
90.00,22.07
120.00,22.05
150.00,22.06
180.00,22.06
210.00,22.07
240.00,22.07
270.00,22.06
300.00,22.07
330.00,22.47
360.00,23.18
390.00,23.76
420.00,24.15
450.00,24.39
480.00,24.56
510.00,24.64
540.00,24.69
570.00,24.76
600.00,24.74
630.00,24.78
660.00,24.79
690.00,24.79
720.00,24.77
750.00,24.80
780.00,24.77
810.00,24.78
840.00,24.76
870.00,24.77
900.00,24.76
930.00,24.75
960.00,24.76
