Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),23.66
Room Temp (deg C),24.66
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,23.66
30.00,23.67
60.00,23.68
90.00,23.66
120.00,23.66
150.00,23.65
180.00,23.66
210.00,23.68
240.00,23.67
270.00,23.66
300.00,23.68
330.00,24.88
360.00,26.84
390.00,28.46
420.00,29.55
450.00,30.27
480.00,30.71
510.00,31.00
540.00,31.16
570.00,31.25
600.00,31.31
630.00,31.36
660.00,31.36
690.00,31.39
720.00,31.37
750.00,31.36
780.00,31.36
810.00,31.36
840.00,31.34
870.00,31.35
900.00,31.34
930.00,31.35
960.00,31.34
