Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Palmitic Acid
Formula,C16H32O2
Molecular Weight (g/mol),256.419
Sample Weight (g),2.0000
Water Temp (deg C),22.65
Room Temp (deg C),23.65
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,22.65
30.00,22.67
60.00,22.67
90.00,22.64
120.00,22.66
150.00,22.66
180.00,22.64
210.00,22.66
240.00,22.65
270.00,22.66
300.00,22.67
330.00,23.82
360.00,25.72
390.00,27.27
420.00,28.37
450.00,29.04
480.00,29.48
510.00,29.74
540.00,29.92
570.00,29.98
600.00,30.04
630.00,30.09
660.00,30.12
690.00,30.11
720.00,30.09
750.00,30.08
780.00,30.08
810.00,30.11
840.00,30.11
870.00,30.08
900.00,30.06
930.00,30.09
960.00,30.05
