Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,Sorbitol
Formula,C6H14O6
Molecular Weight (g/mol),182.170
Sample Weight (g),2.0000
Water Temp (deg C),22.66
Room Temp (deg C),23.66
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,22.66
30.00,22.65
60.00,22.66
90.00,22.67
120.00,22.66
150.00,22.65
180.00,22.65
210.00,22.68
240.00,22.66
270.00,22.69
300.00,22.69
330.00,23.16
360.00,24.00
390.00,24.66
420.00,25.09
450.00,25.38
480.00,25.58
510.00,25.69
540.00,25.76
570.00,25.78
600.00,25.84
630.00,25.82
660.00,25.83
690.00,25.86
720.00,25.83
750.00,25.85
780.00,25.86
810.00,25.85
840.00,25.83
870.00,25.85
900.00,25.85
930.00,25.84
960.00,25.84
