Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),24.45
Room Temp (deg C),25.45
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.45
30.00,24.43
60.00,24.44
90.00,24.46
120.00,24.43
150.00,24.44
180.00,24.44
210.00,24.43
240.00,24.45
270.00,24.44
300.00,24.43
330.00,24.91
360.00,25.66
390.00,26.30
420.00,26.74
450.00,27.03
480.00,27.20
510.00,27.30
540.00,27.37
570.00,27.39
600.00,27.42
630.00,27.43
660.00,27.43
690.00,27.46
720.00,27.43
750.00,27.44
780.00,27.44
810.00,27.42
840.00,27.43
870.00,27.43
900.00,27.43
930.00,27.42
960.00,27.45
