Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),21.16
Room Temp (deg C),22.16
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,21.16
30.00,21.15
60.00,21.15
90.00,21.14
120.00,21.15
150.00,21.16
180.00,21.18
210.00,21.16
240.00,21.18
270.00,21.17
300.00,21.16
330.00,21.64
360.00,22.41
390.00,23.04
420.00,23.45
450.00,23.71
480.00,23.92
510.00,24.02
540.00,24.08
570.00,24.11
600.00,24.12
630.00,24.15
660.00,24.14
690.00,24.16
720.00,24.14
750.00,24.15
780.00,24.14
810.00,24.13
840.00,24.16
870.00,24.14
900.00,24.13
930.00,24.13
960.00,24.14
