Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1557
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),22.86
Room Temp (deg C),23.86
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,22.86
30.00,22.87
60.00,22.86
90.00,22.87
120.00,22.87
150.00,22.87
180.00,22.87
210.00,22.88
240.00,22.88
270.00,22.88
300.00,22.89
330.00,23.33
360.00,24.10
390.00,24.75
420.00,25.17
450.00,25.43
480.00,25.62
510.00,25.72
540.00,25.80
570.00,25.83
600.00,25.87
630.00,25.87
660.00,25.87
690.00,25.86
720.00,25.88
750.00,25.87
780.00,25.88
810.00,25.88
840.00,25.86
870.00,25.87
900.00,25.88
930.00,25.88
960.00,25.88
