Frequency (Hz)	Level (dB)
0.976562	-48.793137
1.953125	-48.711212
2.929688	-48.616837
3.906250	-48.414661
4.882812	-48.219570
5.859375	-47.931042
6.835938	-47.566883
7.812500	-47.209286
8.789062	-46.763210
9.765625	-46.073505
10.742188	-45.527199
11.718750	-44.855988
12.695312	-43.974220
13.671875	-42.628017
14.648438	-42.124130
15.625000	-40.884651
16.601562	-39.696400
17.578125	-38.011753
18.554688	-36.452927
19.531250	-32.922127
20.507812	-28.831413
21.484375	-12.498232
22.460938	-15.163536
23.437500	-19.207582
24.414062	-29.221081
25.390625	-34.396450
26.367188	-36.889503
27.343750	-37.025764
28.320312	-39.965313
29.296875	-41.119591
30.273438	-41.858723
31.250000	-43.084965
32.226562	-43.871716
33.203125	-44.716949
34.179688	-44.841335
35.156250	-44.805073
36.132812	-46.054192
37.109375	-46.177483
38.085938	-45.653736
39.062500	-47.035503
40.039062	-48.511921
41.015625	-47.899109
41.992188	-46.384247
42.968750	-31.990541
43.945312	-37.342010
44.921875	-40.839039
45.898438	-44.857109
46.875000	-45.230656
47.851562	-48.552250
48.828125	-49.187668
49.804688	-49.809368
50.781250	-49.264881
51.757812	-50.596794
52.734375	-51.372391
53.710938	-51.171692
54.687500	-49.450443
55.664062	-51.712315
56.640625	-50.393562
57.617188	-50.886894
58.593750	-50.388752
59.570312	-50.322918
60.546875	-50.609558
61.523438	-49.222233
62.500000	-50.204136
63.476562	-50.361530
64.453125	-40.782127
65.429688	-44.917961
66.406250	-46.288094
67.382812	-47.231621
68.359375	-50.191292
69.335938	-51.486988
70.312500	-52.730564
71.289062	-51.161900
72.265625	-52.620926
73.242188	-51.445854
74.218750	-51.451870
75.195312	-53.212372
76.171875	-52.690468
77.148438	-52.845436
78.125000	-53.302605
79.101562	-52.581635
80.078125	-53.072971
81.054688	-51.840801
82.031250	-52.008530
83.007812	-52.111996
83.984375	-51.295979
84.960938	-52.834938
85.937500	-43.349316
86.914062	-47.703308
87.890625	-48.062798
88.867188	-48.385506
89.843750	-48.485775
90.820312	-50.621521
91.796875	-51.142609
92.773438	-49.311844
93.750000	-54.108627
94.726562	-54.866520
95.703125	-55.912971
96.679688	-55.525108
97.656250	-55.006634
98.632812	-55.274307
99.609375	-54.253529
100.585938	-54.661079
101.562500	-54.831600
102.539062	-53.355389
103.515625	-54.247894
104.492188	-53.288727
105.468750	-51.892857
106.445312	-49.852947
107.421875	-40.878044
108.398438	-45.771847
109.375000	-46.762085
110.351562	-46.089775
111.328125	-46.503521
112.304688	-46.463585
113.281250	-49.774719
114.257812	-46.534187
115.234375	-46.594425
116.210938	-47.175869
117.187500	-50.800385
118.164062	-53.629993
119.140625	-55.526428
120.117188	-54.609100
121.093750	-56.705330
122.070312	-55.521202
123.046875	-53.991066
124.023438	-55.625256
125.000000	-55.767529
125.976562	-54.500107
126.953125	-53.877079
127.929688	-49.137646
128.906250	-39.813030
129.882812	-45.333134
130.859375	-46.486069
131.835938	-50.041542
132.812500	-48.337952
133.789062	-51.147465
134.765625	-52.893890
135.742188	-53.560677
136.718750	-54.937378
137.695312	-53.565952
138.671875	-54.524418
139.648438	-55.877514
140.625000	-55.529873
141.601562	-55.885490
142.578125	-56.551136
143.554688	-55.338898
144.531250	-57.091324
145.507812	-55.258366
146.484375	-55.650772
147.460938	-56.341240
148.437500	-54.929108
149.414062	-51.365257
150.390625	-43.604755
151.367188	-48.626030
152.343750	-49.863564
153.320312	-53.091190
154.296875	-52.469120
155.273438	-51.833210
156.250000	-52.334206
157.226562	-53.735466
158.203125	-54.618275
159.179688	-53.489532
160.156250	-52.705372
161.132812	-54.510742
162.109375	-53.432121
163.085938	-54.767372
164.062500	-54.336300
165.039062	-53.919392
166.015625	-54.117496
166.992188	-54.485268
167.968750	-53.550198
168.945312	-53.550697
169.921875	-51.257084
170.898438	-48.172756
171.875000	-42.372562
172.851562	-46.392166
173.828125	-48.371262
174.804688	-48.721344
175.781250	-49.485126
176.757812	-48.477661
177.734375	-50.436714
178.710938	-51.144554
179.687500	-51.795353
180.664062	-53.001923
181.640625	-52.362854
182.617188	-51.465977
183.593750	-52.925728
184.570312	-53.590897
185.546875	-52.363991
186.523438	-52.293793
187.500000	-53.379333
188.476562	-52.457592
189.453125	-53.032238
190.429688	-51.713116
191.406250	-50.554840
192.382812	-48.080437
193.359375	-42.864147
