Frequency (Hz)	Level (dB)
0.976562	-75.577843
1.953125	-75.470123
2.929688	-75.446869
3.906250	-75.141472
4.882812	-74.457932
5.859375	-74.267792
6.835938	-73.302628
7.812500	-71.576721
8.789062	-70.965057
9.765625	-69.317162
10.742188	-67.581261
11.718750	-65.584709
12.695312	-62.470528
13.671875	-61.904766
14.648438	-60.291401
15.625000	-58.539471
16.601562	-57.807705
17.578125	-56.206009
18.554688	-56.180386
19.531250	-55.145386
20.507812	-53.286980
21.484375	-52.832855
22.460938	-53.910946
23.437500	-50.425495
24.414062	-49.889679
25.390625	-48.414833
26.367188	-45.788589
27.343750	-41.136909
28.320312	-45.436546
29.296875	-52.545174
30.273438	-55.971508
31.250000	-57.814842
32.226562	-57.823677
33.203125	-58.385929
34.179688	-60.155716
35.156250	-59.423695
36.132812	-59.288044
37.109375	-58.560753
38.085938	-58.992237
39.062500	-59.953594
40.039062	-59.467148
41.015625	-59.172138
41.992188	-58.465336
42.968750	-61.039162
43.945312	-60.576584
44.921875	-59.143837
45.898438	-60.635220
46.875000	-58.848053
47.851562	-59.292385
48.828125	-59.729290
49.804688	-58.455711
50.781250	-59.840332
51.757812	-57.951843
52.734375	-58.063232
53.710938	-59.391068
54.687500	-55.900826
55.664062	-56.545097
56.640625	-58.268635
57.617188	-58.579445
58.593750	-58.392941
59.570312	-57.392059
60.546875	-58.516514
61.523438	-57.199169
62.500000	-58.115932
63.476562	-57.101562
64.453125	-58.596512
65.429688	-57.867630
66.406250	-57.634285
67.382812	-57.858532
68.359375	-56.432922
69.335938	-56.819504
70.312500	-57.062519
71.289062	-56.926132
72.265625	-57.847164
73.242188	-57.358597
74.218750	-56.954296
75.195312	-57.474728
76.171875	-55.515671
77.148438	-55.401592
78.125000	-57.062469
79.101562	-56.365643
80.078125	-55.358509
81.054688	-53.533524
82.031250	-52.715141
83.007812	-53.126991
83.984375	-54.061226
84.960938	-54.828636
85.937500	-55.124165
86.914062	-55.630169
87.890625	-55.262199
88.867188	-55.734058
89.843750	-55.488316
90.820312	-54.954254
91.796875	-55.130947
92.773438	-54.412113
93.750000	-55.161568
94.726562	-55.304245
95.703125	-55.445969
96.679688	-55.899761
97.656250	-56.124718
98.632812	-56.013187
99.609375	-56.154350
100.585938	-55.172237
101.562500	-55.638561
102.539062	-54.962376
103.515625	-55.113369
104.492188	-53.567753
105.468750	-52.686466
106.445312	-53.767521
107.421875	-53.580750
108.398438	-53.871857
109.375000	-50.846008
110.351562	-52.384579
111.328125	-52.299412
112.304688	-50.534027
113.281250	-50.495701
114.257812	-50.261108
115.234375	-50.041451
116.210938	-49.456249
117.187500	-48.988945
118.164062	-46.756378
119.140625	-46.070492
120.117188	-47.126099
121.093750	-48.770805
122.070312	-48.562321
123.046875	-47.514465
124.023438	-47.688847
125.000000	-46.387363
125.976562	-46.217140
126.953125	-43.596386
127.929688	-44.952660
128.906250	-45.444447
129.882812	-44.888966
130.859375	-45.693420
131.835938	-48.300495
132.812500	-47.123089
133.789062	-47.824070
134.765625	-47.392593
135.742188	-47.835575
136.718750	-47.989071
137.695312	-50.148758
138.671875	-49.484257
139.648438	-51.537037
140.625000	-50.670750
141.601562	-53.017941
142.578125	-53.288155
143.554688	-53.014614
144.531250	-53.588554
145.507812	-54.519611
146.484375	-55.676762
147.460938	-55.343391
148.437500	-56.519062
149.414062	-55.036163
150.390625	-56.642120
151.367188	-55.642456
152.343750	-56.753342
153.320312	-57.497711
154.296875	-57.380939
155.273438	-56.888115
156.250000	-58.412369
157.226562	-59.474800
158.203125	-59.243382
159.179688	-59.147266
160.156250	-58.470730
161.132812	-58.222462
162.109375	-58.232445
163.085938	-59.518536
164.062500	-59.975296
165.039062	-59.159851
166.015625	-59.189407
166.992188	-57.951889
167.968750	-59.197479
168.945312	-60.717587
169.921875	-60.138550
170.898438	-59.960690
171.875000	-59.800453
172.851562	-60.881443
173.828125	-59.573044
174.804688	-60.068974
175.781250	-60.267181
176.757812	-59.217369
177.734375	-60.320652
178.710938	-62.202335
179.687500	-61.007946
180.664062	-60.867680
181.640625	-61.610336
182.617188	-60.554741
183.593750	-60.717751
184.570312	-62.032188
185.546875	-60.959511
186.523438	-62.036831
187.500000	-63.218739
188.476562	-62.093700
189.453125	-61.487152
190.429688	-61.906284
191.406250	-61.483238
192.382812	-61.383141
193.359375	-61.833393
194.335938	-62.441681
195.312500	-62.390610
196.289062	-63.020115
197.265625	-62.155457
